,업종,항목,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
39,동해구중형트롤어업,비용,2704730.7733333334,1691255.3703703703,1632894.4444444445,1298913.6496153846,1440113.8148148148,1453152.8823529412,917340.0588235294,675378.0725185185,824875.8953222223,778368.4560481481,515326.0
40,동해구중형트롤어업,수익,2955783.3333333335,2368532.814814815,2381925.777777778,1931260.423076923,3009572.792592593,3019831.882352941,1499205.3529411764,1224763.7037037036,1566936.9607142857,1230335.411111111,572719.0
41,동해구중형트롤어업,이익,252364.3681999999,677277.4444444445,749817.5925925926,635039.0811538462,1570264.348148148,1566679.0,581865.2941176471,549700.371925926,775474.0259392858,451966.95506296295,57393.0
42,동해외끌중형어업,비용,418826.65499999997,493801.60679397394,437935.6656,420482.64811999997,427588.08869565214,447022.8888888889,446495.34108823526,481462.761,491752.52174,528788.7384728,560538.8296879199
43,동해외끌중형어업,수익,536957.25,584872.8260869565,585863.8,662536.52,700455.9565217391,725748.9444444445,702309.1352941177,663045.76,741782.9,812828.7096,740161.224137931
44,동해외끌중형어업,이익,118732.40707000002,91071.2192929826,148868.13439999998,242053.87188000002,272867.86782608693,278726.05555555556,255813.79420588235,181789.23899999997,254656.25826,284039.9711272,183610.22203621792
45,서남해쌍끌중형어업,비용,3462041.69,2396374.3333333335,2070838.9432380951,2228030.7902857144,2371215.7346666665,2563482.527,3081647.925,3328852.3625555555,3342595.380555555,4338622.521222223,4041040.982413195
46,서남해쌍끌중형어업,수익,3791642.0,2798884.8333333335,2352217.3285714285,3140628.0,2851170.0,4217381.5,4112989.0,4000425.0,3862231.0,4911773.0,4317460.833333333
47,서남해쌍끌중형어업,이익,330584.43683999963,402510.5,281378.38533333334,912597.2097142858,479954.2653333333,1653898.973,1031341.0750000001,671572.6374444443,519635.6194444445,573150.4787777776,276419.85092013865
48,서남해외끌중형어업,비용,947686.3176756757,915010.3039215686,880091.2228181819,958204.4554594595,1031383.3982727273,998543.9035812501,1015845.2746666666,973607.1573933333,1009912.8535333334,962553.4216166667,1210272.543714143
49,서남해외끌중형어업,수익,1256878.4054054054,1261320.0294117648,1177426.1575757577,1279142.8378378379,1386726.6666666667,1323107.14375,1467461.5901567915,1432602.8900000001,1503999.175,1340148.53,1488257.3590909091
50,서남해외끌중형어업,이익,312177.8206032431,346309.7254901961,314960.14687878784,322280.94994594593,355343.2683939394,329934.29016875,451616.31549012486,461138.68260666664,494086.32146666665,377595.1083833333,277984.8153767661
51,소형선망어업,비용,2054243.2044444443,1356109.42053125,1124912.3512413793,811734.7996666668,841720.7362222222,981034.3597449999,888477.4114761904,1179744.2397208503,1222400.0165711336,1104260.4055333333,1694786.1961210617
52,소형선망어업,수익,2185365.111111111,1451709.125,1244445.4827586208,1057999.125,1131917.0740740742,1266140.6285,1184261.638095238,1534844.67,1637872.184526316,1237532.254,1947608.67024
53,소형선망어업,이익,135385.88632074092,95599.70446875002,120996.57979310345,246680.992,292048.18970370374,287606.26875499997,296666.7028095238,356572.53554230765,417285.16795518226,133271.84846666665,254200.3541189384
54,쌍끌대형어업,비용,4332759.361892858,3697502.4492753623,3332299.678346154,3168915.8735,3139032.9016570365,3194067.5362463123,3707010.768681734,3677085.584574451,3328710.9232663023,3773832.6693708813,3419041.4852957013
55,쌍끌대형어업,수익,4594654.678571428,3949979.0434782607,3507169.526923077,3775651.625,3813229.447037037,4696106.328571429,4507495.9233450005,4454571.076923077,3580067.028,4347595.2,3765695.3153846157
56,쌍끌대형어업,이익,262765.6176435705,252476.59420289853,187151.19473076926,608859.2514999999,681357.0268614821,1513198.458991783,801939.154663266,780413.6846563182,252878.90473369748,573762.5306291184,348118.0608581445
57,외끌대형어업,비용,923361.3973333334,911798.8888888889,928530.5884444445,896270.15,833560.4448611616,942360.107812496,873506.7652173052,921718.0027635787,726166.714498556,785088.2283828718,817631.052865302
58,외끌대형어업,수익,1085139.5555555555,1112897.5666666667,1239091.5055555557,1141574.9117647058,1245328.134102564,1343332.5416666667,1155911.3508,1374627.923076923,1176292.958913309,1044412.7692307692,1186710.149323927
59,외끌대형어업,이익,164195.2882577778,201098.67777777778,319017.77822222223,245304.76176470588,411767.6892414025,400972.43385417055,282404.5855826949,452909.9203133444,450126.2444147529,259324.54084789747,369079.0964586251
60,잠수기어업,비용,201611.58322222222,209848.84503750215,192959.750172043,201060.42088297874,155303.8708106383,168526.91867532468,202107.1297524,175488.17165334008,202435.68403340082,224585.7538443723,211821.79819835708
61,잠수기어업,수익,278052.0909090909,284505.73225806456,326311.28817204305,293963.60638297873,233202.5670212766,272524.0571428571,311026.25993999996,268437.5210526316,324450.1513157895,359338.6424675324,314305.91375
62,잠수기어업,이익,76860.65923474747,74656.88722056236,133351.538,93477.65358510637,81664.65365744682,107243.89171428572,112657.04447331428,92949.34939929149,122014.46728238865,134752.88862316016,102484.1155516429
